call_id,call_outcome,success,situation,strategies,effect
call_001,demo_booked,1,"The prospect stated they already use DoorDash, Grubhub, and Uber Eats and expressed that they don't think they need anything else.","The rep clarified that their service is not a third-party platform but a tool for online ordering through the restaurant's own website, emphasizing savings on commissions and potential for more sales.",proceed
call_001,demo_booked,1,The prospect expressed uncertainty and lack of interest by saying they don't know and indicating they are busy cooking with no time to talk.,"The rep acknowledged the time constraint and smoothly pivoted to ask for the contact of another decision-maker, obtaining the manager’s name and phone number to continue the conversation later.",proceed
call_002,demo_booked,1,"The prospect indicated flexibility between two possible demo times (10:30 or 2:00), creating a scheduling decision point that could affect whether the demo gets confirmed.","The rep confirmed the options, referenced the previously preferred time, and guided the prospect toward a firm commitment by asking about laptop access for the earlier slot.",proceed
call_002,demo_booked,1,"The prospect clarified they would use a desktop without a camera, which could signal a potential technical limitation or hesitation about participation.","The rep reassured the prospect that a camera was not necessary, emphasized that screen sharing was the only requirement, and maintained a positive tone to keep the commitment intact.",proceed
call_003,demo_booked,1,El prospecto informa que la persona encargada no se encuentra y no sabe a qué hora llegará.,"El representante solicita dejar su número de contacto para que la persona encargada lo llame al llegar, asegurando que la información de la empresa quede clara al deletrear el nombre y mencionar la compañía.",proceed
call_003,demo_booked,1,El prospecto muestra confusión sobre el nombre de la empresa ('¿la compañía que perdón?').,El representante aclara el nombre de la empresa deletreándolo ('O-W-N-E-R.com') para evitar malentendidos y asegurar que el mensaje se transmita correctamente.,proceed
call_004,demo_booked,1,"The prospect indicated they had just woken up and were not in a good position to talk, showing low availability and potential disinterest at that moment.","The rep quickly acknowledged the poor timing, offered to reschedule, and asked for a better time to call, showing respect for the prospect’s situation and flexibility.",proceed
call_004,demo_booked,1,"The prospect hesitated and took time to think about when would be a better time for a follow-up call, showing uncertainty about scheduling.","The rep stayed patient, reassured the prospect, and allowed them to decide on a convenient time, then confirmed the new time (1 PM) clearly.",proceed
call_005,demo_booked,1,"The prospect expressed confusion about what the rep meant by 'get you scheduled in,' indicating uncertainty about the purpose of the call.","The rep clarified that the call was to schedule a meeting with a product specialist, restating the intent clearly and confirming it was based on the prospect’s prior request.",proceed
call_005,demo_booked,1,"The prospect showed limited English comprehension and communication difficulty, responding with short or unclear phrases such as 'Allow to talk.'","The rep interpreted the response as agreement and proposed a specific time (2 p.m.) to simplify the decision process, avoiding complex phrasing.",proceed
call_005,demo_booked,1,"The prospect indicated unfamiliarity with Google Meet, saying they had never used it before.","The rep reassured the prospect, explained it was similar to Zoom, and offered to send a link via email while checking if the prospect had a compatible device.",proceed
call_005,demo_booked,1,"At the end, the prospect did not respond when the rep asked about having a computer or tablet, suggesting possible disengagement or technical difficulty.","The rep attempted to re-engage by calling the prospect’s name and checking if they could hear, but did not receive confirmation or adapt further.",unclear
call_006,demo_booked,1,The prospect's phone system indicated they could not take the call and directed the rep to leave a voicemail.,"The rep continued speaking casually about local restaurants and personal experiences instead of delivering a concise, business-focused voicemail or clear demo invitation.",not_proceed
call_007,demo_booked,1,The prospect mentioned they had not yet spoken with the owner and needed to confirm with them before proceeding with the scheduled meeting.,"The rep acknowledged the earlier plan for the prospect to speak with the owner that evening, showing understanding and maintaining a cooperative tone without pressuring for immediate confirmation.",unclear
call_007,demo_booked,1,The prospect expressed reluctance to use their cell phone for business purposes when the rep asked for a contact number.,"The rep accepted the concern without pushing, verified the correct number, and confirmed prior communication attempts to ensure the contact channel was valid.",proceed
call_007,demo_booked,1,The prospect indicated they would need to save the rep’s number before further communication.,"The rep reassured the prospect, confirmed the number, and reiterated plans to reconnect the next day, maintaining a friendly and organized close to the call.",proceed
call_008,demo_booked,1,"The prospect was unavailable for the scheduled meeting, and the rep reached someone else at the business who was unsure of the prospect’s location or availability.","The rep politely asked clarifying questions to determine whether the prospect would attend the meeting, confirmed the correct contact number, and requested that the person on the phone pass along a message and text reminder to the prospect.",unclear
call_008,demo_booked,1,The person answering the call expressed uncertainty about the rep’s company and asked if they were calling from Owner.com.,"The rep confirmed the company name clearly, reassured the contact, and maintained a polite, appreciative tone to preserve cooperation.",proceed
call_009,demo_booked,1,"The prospect expressed confusion about who the rep was and whether the call was a sales pitch, asking if the rep was trying to sell something.","The rep clarified that someone with the initials SS had submitted a request on the Owner.com website for an online ordering assessment, positioning the call as a follow-up rather than a cold sales pitch.",proceed
call_009,demo_booked,1,The prospect did not recognize the name Owner.com or the request and seemed uncertain who within the restaurant made it.,"The rep restated the company name, explained the context of the request, and provided the email used, prompting the prospect to check internally and attempt to connect the rep with someone who might know.",proceed
call_009,demo_booked,1,"The prospect identified the actual owner, Fahad, and indicated there were multiple owners handling different responsibilities.","The rep confirmed the name, acknowledged the complexity of multiple owners, and provided their contact number for follow-up, ensuring the correct person would reach out.",proceed
call_009,demo_booked,1,The prospect offered to text the rep’s contact information to the owner and said the owner would contact the rep directly.,"The rep thanked the prospect, confirmed their name and number, and closed politely to maintain goodwill and ensure the handoff was completed.",proceed
